catalase methaemoglobin osmotic_fragility,Gene conj production prep of pobj Chemical,"Red-cell catalase and the production of methaemoglobin, Heinz bodies and changes in osmotic_fragility due to drugs."
lecithin_cholesterol_acyltransferase cholesterol cholesterol,Gene pobj of prep Action prep on pobj dispersions prep of pobj lecithin conj Chemical,Action of lecithin_cholesterol_acyltransferase on sonicated dispersions of lecithin and cholesterol and on lecithin-cholesterol-protein complexes.
catalase methaemoglobin osmotic_fragility,Gene conj production prep of pobj Chemical,"Red-cell catalase and the production of methaemoglobin, Heinz bodies and changes in osmotic_fragility due to drugs."
lecithin_cholesterol_acyltransferase cholesterol cholesterol,Gene pobj of prep Action prep on pobj dispersions prep of pobj lecithin conj Chemical,Action of lecithin_cholesterol_acyltransferase on sonicated dispersions of lecithin and cholesterol and on lecithin-cholesterol-protein complexes.
catalase methaemoglobin osmotic_fragility,Gene conj production prep of pobj Chemical,"Red-cell catalase and the production of methaemoglobin, Heinz bodies and changes in osmotic_fragility due to drugs."
lecithin_cholesterol_acyltransferase cholesterol cholesterol,Gene pobj of prep Action prep on pobj dispersions prep of pobj lecithin conj Chemical,Action of lecithin_cholesterol_acyltransferase on sonicated dispersions of lecithin and cholesterol and on lecithin-cholesterol-protein complexes.
catalase methaemoglobin osmotic_fragility,Gene conj production prep of pobj Chemical,"Red-cell catalase and the production of methaemoglobin, Heinz bodies and changes in osmotic_fragility due to drugs."
lecithin_cholesterol_acyltransferase cholesterol cholesterol,Gene pobj of prep Action prep on pobj dispersions prep of pobj lecithin conj Chemical,Action of lecithin_cholesterol_acyltransferase on sonicated dispersions of lecithin and cholesterol and on lecithin-cholesterol-protein complexes.
catalase methaemoglobin osmotic_fragility,Gene conj production prep of pobj Chemical,"Red-cell catalase and the production of methaemoglobin, Heinz bodies and changes in osmotic_fragility due to drugs."
lecithin_cholesterol_acyltransferase cholesterol cholesterol,Gene pobj of prep Action prep on pobj dispersions prep of pobj lecithin conj Chemical,Action of lecithin_cholesterol_acyltransferase on sonicated dispersions of lecithin and cholesterol and on lecithin-cholesterol-protein complexes.
catalase methaemoglobin osmotic_fragility,Gene conj production prep of pobj Chemical,"Red-cell catalase and the production of methaemoglobin, Heinz bodies and changes in osmotic_fragility due to drugs."
lecithin_cholesterol_acyltransferase cholesterol cholesterol,Gene pobj of prep Action prep on pobj dispersions prep of pobj lecithin conj Chemical,Action of lecithin_cholesterol_acyltransferase on sonicated dispersions of lecithin and cholesterol and on lecithin-cholesterol-protein complexes.
,Gene conj production prep of pobj Chemical,"Red-cell catalase and the production of methaemoglobin, Heinz bodies and changes in osmotic_fragility due to drugs."
,Gene pobj of prep Action prep on pobj dispersions prep of pobj lecithin conj Chemical,Action of lecithin_cholesterol_acyltransferase on sonicated dispersions of lecithin and cholesterol and on lecithin-cholesterol-protein complexes.
,Gene conj production prep of pobj Chemical,"Red-cell catalase and the production of methaemoglobin, Heinz bodies and changes in osmotic_fragility due to drugs."
,Gene pobj of prep Action prep on pobj dispersions prep of pobj lecithin conj Chemical,Action of lecithin_cholesterol_acyltransferase on sonicated dispersions of lecithin and cholesterol and on lecithin-cholesterol-protein complexes.
catalase methaemoglobin osmotic_fragility,Gene conj production prep of pobj Chemical,"Red-cell catalase and the production of methaemoglobin, Heinz bodies and changes in osmotic_fragility due to drugs."
lecithin_cholesterol_acyltransferase cholesterol cholesterol,Gene pobj of prep Action prep on pobj dispersions prep of pobj lecithin conj Chemical,Action of lecithin_cholesterol_acyltransferase on sonicated dispersions of lecithin and cholesterol and on lecithin-cholesterol-protein complexes.
